IDENTIFICACAO_CONTRATO;TITULO_PROJETO;CHAMADA_PUBLICA;ANO_CHAMADA_PUBLICA;CNPJ_PROPONENTE;RAZAO_SOCIAL_PROPONENTE;CNPJ_PRODUTORA;RAZAO_SOCIAL_PRODUTORA;CNPJ_DISTRIBUIDORA_PROGRAMADORA;RAZAO_SOCIAL_DISTRIBUIDORA_PROGRAMADORA;DT_PUBLICACAO_CONTRATO_DOU;VL_CONTRATO_DOU;DT_PRIMEIRO_DESEMBOLSO;VL_TOTAL_LIBERADO
DG-00.894;AMORES DE CHUMBO;PRODECINE 01;2014;07.617.370/0001-11;PLANO 9 PRODUÇÕES AUDIOVISUAIS LTDA;07.617.370/0001-11;PLANO 9 PRODUÇÕES AUDIOVISUAIS LTDA;07.700.630/0001-18;ELO AUDIOVISUAL SERVIÇOS LTDA;30/09/2016; 550000,00;20/10/2016; 550000,00
DG-00.912;DIDI ;ARRANJOS REGIONAIS;2014;08.103.899/0001-80;LÚMEN PRODUÇÕES AUDIOVISUAIS LTDA. - ME;08.103.899/0001-80;LÚMEN PRODUÇÕES AUDIOVISUAIS LTDA. - ME;08.103.899/0001-80;LÚMEN PRODUÇÕES AUDIOVISUAIS LTDA. - ME;30/09/2016; 150000,00;03/11/2016; 150000,00
DG-00.907;MARIAS ;SAV/MINC 04;2014;07.617.370/0001-11;PLANO 9 PRODUÇÕES AUDIOVISUAIS LTDA;07.617.370/0001-11;PLANO 9 PRODUÇÕES AUDIOVISUAIS LTDA;;;30/09/2016; 816988,00;17/10/2016; 816988,00
DG-00.852;NA REDE BR;PRODAV 02 - PROJETO DERIVADO;2013;13.740.305/0001-81;FELIPE CALDERARO VENTURA;13.740.305/0001-81;FELIPE CALDERARO VENTURA;07.254.174/0001-20;PBI - PROGRAMADORA BRASILEIRA INDEPENDENTE S.A;30/09/2016; 206260,00;14/11/2016; 206260,00
DG-00.905;O CHALÉ É UMA ILHA BATIDA DE VENTO E CHUVA;SAV/MINC 04;2014;04.939.205/0001-98;MATIZAR PRODUÇÕES ARTÍSTICAS LTDA;04.939.205/0001-98;MATIZAR PRODUÇÕES ARTÍSTICAS LTDA;;;30/09/2016; 824836,75;17/10/2016; 824836,75
DG-00.917;O SAMBA QUE MORA AQUI;ARRANJOS REGIONAIS;2014;12.345.593/0001-07;CARANGUEJEIRA COMUNICACAO E PRODUCAO AUDIOVISUAL LTDA ME.;12.345.593/0001-07;CARANGUEJEIRA COMUNICACAO E PRODUCAO AUDIOVISUAL LTDA ME.;;;30/09/2016; 200000,00;22/11/2016; 200000,00
DG-00.921;OS SÚDITOS DO EIXO;PRODAV 01;2013;37.155.280/0001-17;THOR FILMES EIRELI - ME;37.155.280/0001-17;THOR FILMES EIRELI - ME;;;30/09/2016; 400000,00;03/11/2016; 400000,00
DG-00.873;PALMARES CORAÇÃO BRASILEIRO ALMA AFRICANA ;PRODAV 01;2013;35.792.621/0001-30;PALMARES PRODUÇÕES E JORNALISMO LTDA;35.792.621/0001-30;PALMARES PRODUÇÕES E JORNALISMO LTDA;;;30/09/2016; 700000,00;18/11/2016; 700000,00
DG-00.892;UM ANIMAL AMARELO;PRODECINE 05;2014;01.125.538/0001-95;DM FILMES E PRODUÇÕES ARTÍSTICAS LTDA;01.125.538/0001-95;DM FILMES E PRODUÇÕES ARTÍSTICAS LTDA;10.681.698/0001-01;TUCUMÁN DISTRIBUIDORA DE FILMES LTDA;30/09/2016; 2240149,60;16/11/2016; 2240149,60
DG-00.916;A CIDADE DO FUTURO;ARRANJOS REGIONAIS;2014;00.845.658/0001-02;COISA DE CINEMA - CINEMA E VÍDEO LTDA ME;00.845.658/0001-02;COISA DE CINEMA - CINEMA E VÍDEO LTDA ME;;;03/10/2016; 200000,00;20/10/2016; 200000,00
DG-00.874;BIW, SAL E SOM;PRODAV 01;2013;07.299.608/0001-08;PEDRO CEZAR PRODUÇÕES ARTÍSTICAS LTDA;07.299.608/0001-08;PEDRO CEZAR PRODUÇÕES ARTÍSTICAS LTDA;;;03/10/2016; 356000,00;17/10/2016; 356000,00
DG-00.929;CULTURAMA;ARRANJOS REGIONAIS;2014;08.410.008/0001-38;CAVALO DO CÃO PRODUÇÃO DE FILMES LTDA - ME;08.410.008/0001-38;CAVALO DO CÃO PRODUÇÃO DE FILMES LTDA - ME;;;03/10/2016; 184466,66;20/10/2016; 184466,66
DG-00.914;DEPOIS DE SER CINZA;ARRANJOS REGIONAIS;2014;08.681.701/0001-45;MENDINA DE MORAIS SANTOS PRODUÇÕES LTDA.;08.681.701/0001-45;MENDINA DE MORAIS SANTOS PRODUÇÕES LTDA.;12.126.484/0001-07;BOULEVARD FILMES LTDA;03/10/2016; 600000,00;20/10/2016; 600000,00
DG-00.931;DESTINO INCOMUM - 2ª TEMPORADA;PRODAV 02 - PROJETO DERIVADO;2013;08.047.810/0001-05;CATRACA - PRODUÇÃO DE AUDIOVISUAIS LTDA;08.047.810/0001-05;CATRACA - PRODUÇÃO DE AUDIOVISUAIS LTDA;07.254.174/0001-20;PBI - PROGRAMADORA BRASILEIRA INDEPENDENTE S.A;03/10/2016; 299827,00;17/10/2016; 299827,00
DG-00.887;LEGALIDADE;PRODECINE 01;2014;90.130.634/0001-51;INVÍDEO PRODUÇÕES CINEMATOGRÁFICAS LTDA.;90.130.634/0001-51;INVÍDEO PRODUÇÕES CINEMATOGRÁFICAS LTDA.;12.126.484/0001-07;BOULEVARD FILMES LTDA;03/10/2016; 1500000,00;20/10/2016; 1500000,00
DG-00.934;O CÉU E A SELVA;SAV/MINC 04;2014;05.928.108/0001-62;COMPANHIA AMAZONICA DE FILMES S/S LTDA.;05.928.108/0001-62;COMPANHIA AMAZONICA DE FILMES S/S LTDA.;;;03/10/2016; 572258,66;17/10/2016; 572258,66
DG-00.925;O FIO DA MEADA;PRODAV 06;2014;27.651.181/0001-72;CALIBAN PRODUÇÕES CINEMATOGRÁFICAS LTDA.;27.651.181/0001-72;CALIBAN PRODUÇÕES CINEMATOGRÁFICAS LTDA.;;;03/10/2016; 399873,00;17/10/2016; 399873,00
DG-00.922;PROFUNDO SCUBA DIVING - 3ª TEMPORADA;PRODAV 02 - PROJETO DERIVADO;2013;01.287.908/0001-90;AVENTURAS PRODUÇÕES E EDIÇÕES EDUCATIVAS LTDA;01.287.908/0001-90;AVENTURAS PRODUÇÕES E EDIÇÕES EDUCATIVAS LTDA;07.254.174/0001-20;PBI - PROGRAMADORA BRASILEIRA INDEPENDENTE S.A;03/10/2016; 292500,00;09/11/2016; 292500,00
