SALIC;TITULO_PROJETO;MUNICIPIO_PROPONENTE;UF_PROPONENTE;SITUACAO_REGISTRO;CNPJ_PROPONENTE;RAZAO_SOCIAL_PROPONENTE;LEI_8313;ART1;ART1A;ART3;ART3A;ART39;FUNCINES;TOTAL_CAPTADO;DT_APROVACAO_CAPTACAO;DT_1_LIBERACAO
18-0098;Milton Gonçalves;RIO DE JANEIRO;RJ;DEFERIDO;27.920.016/0001-79;MEIOS DE PRODUÇÃO E COMUNICAÇÃO LTDA;0,0;0,0;0,0;0,0;320000,0;0,0;0,0;320000,0;06/02/2018;11/03/2021
96-0609;Dia da Caça (O);RIO DE JANEIRO;RJ;DEFERIDO;27.920.016/0001-79;MEIOS DE PRODUÇÃO E COMUNICAÇÃO LTDA;1252999,9887;2472463,12;0,0;79999,99;0,0;0,0;0,0;3805463,0987;20/06/1996;17/01/2000
96-2443;AMAZÔNIA DOCUMENTA - MARGARETH  MEE - DONA DA FLÔR DA LUA;RIO DE JANEIRO;RJ;DEFERIDO;27.920.016/0001-79;MEIOS DE PRODUÇÃO E COMUNICAÇÃO LTDA;0,0;241505,0;0,0;0,0;0,0;0,0;0,0;241505,0;20/11/1996;27/01/2000
96-2431;AMAZÔNIA DOCUMENTA - PEIXES ORNAMENTAIS;RIO DE JANEIRO;RJ;DEFERIDO;27.920.016/0001-79;MEIOS DE PRODUÇÃO E COMUNICAÇÃO LTDA;0,0;296573,0;0,0;0,0;0,0;0,0;0,0;296573,0;20/11/1996;27/01/2000
15-0296;VIDAS DESCARTÁVEIS (EX TRABALHO ESCRAVO.DOC);RIO DE JANEIRO;RJ;DEFERIDO;27.920.016/0001-79;MEIOS DE PRODUÇÃO E COMUNICAÇÃO LTDA;0,0;150000,0;0,0;0,0;300000,0;0,0;0,0;450000,0;08/07/2015;25/08/2017
15-0390;PAPARAZZI - DESENVOLVIMENTO;RIO DE JANEIRO;RJ;DEFERIDO;27.920.016/0001-79;MEIOS DE PRODUÇÃO E COMUNICAÇÃO LTDA;0,0;0,0;0,0;150000,0;0,0;0,0;0,0;150000,0;07/08/2015;21/10/2015
15-0356;HISTÓRIAS DA FOME NO BRASIL (EX A HISTÓRIA DA FOME NO BRASIL);RIO DE JANEIRO;RJ;DEFERIDO;27.920.016/0001-79;MEIOS DE PRODUÇÃO E COMUNICAÇÃO LTDA;0,0;0,0;50000,0;0,0;0,0;0,0;300000,0;350000,0;28/07/2015;12/05/2017
14-0566;Orlando - Florida;RIO DE JANEIRO;RJ;DEFERIDO;27.920.016/0001-79;MEIOS DE PRODUÇÃO E COMUNICAÇÃO LTDA;0,0;730000,0;0,0;2447063,76;431826,24;0,0;1250000,0;4858890,0;29/12/2014;24/08/2018
14-0088;Orlando - Flórida - Desenvolvimento;RIO DE JANEIRO;RJ;DEFERIDO;27.920.016/0001-79;MEIOS DE PRODUÇÃO E COMUNICAÇÃO LTDA;0,0;0,0;0,0;0,0;121110,0;0,0;0,0;121110,0;26/03/2014;11/07/2014
10-0570;A Esperança é a Última que Morre;RIO DE JANEIRO;RJ;DEFERIDO;27.920.016/0001-79;MEIOS DE PRODUÇÃO E COMUNICAÇÃO LTDA;0,0;1619000,0;0,0;0,0;250000,0;0,0;0,0;1869000,0;04/03/2011;13/12/2013
04-0096;PARINTINS;RIO DE JANEIRO;RJ;DEFERIDO;27.920.016/0001-79;MEIOS DE PRODUÇÃO E COMUNICAÇÃO LTDA;100000,0;0,0;0,0;0,0;0,0;0,0;0,0;100000,0;20/04/2004;31/01/2005
05-0453;Beatriz (Ex - Entre a Dor e o Nada);RIO DE JANEIRO;RJ;DEFERIDO;27.920.016/0001-79;MEIOS DE PRODUÇÃO E COMUNICAÇÃO LTDA;0,0;200000,0;600000,0;0,0;149999,99;0,0;0,0;949999,99;13/04/2006;09/02/2012
10-0032;Amazônia - A Última Fronteira;RIO DE JANEIRO;RJ;DEFERIDO;27.920.016/0001-79;MEIOS DE PRODUÇÃO E COMUNICAÇÃO LTDA;259707,2;0,0;260000,0;0,0;0,0;0,0;0,0;519707,2;10/05/2010;15/04/2011
09-0380;Amor?;RIO DE JANEIRO;RJ;DEFERIDO;28.026.565/0001-67;ELIMAR PRODUÇÕES ARTÍSTICAS LTDA;0,0;0,0;940000,0;0,0;0,0;0,0;0,0;940000,0;16/11/2009;25/01/2010
